Date,Clicks,Impressions,CTR,Position
2025-10-31,0,0,,
2025-11-01,1,13,7.69%,7
2025-11-02,1,43,2.33%,8.8
2025-11-03,0,27,0%,7.4
2025-11-04,0,30,0%,9.7
2025-11-05,2,27,7.41%,6.3
2025-11-06,2,45,4.44%,7.7
2025-11-07,1,18,5.56%,7.4
2025-11-08,0,7,0%,6.6
2025-11-09,0,1,0%,2
2025-11-10,0,1,0%,1
2025-11-11,0,3,0%,8.3
2025-11-12,0,6,0%,6.5
2025-11-13,0,2,0%,7
2025-11-14,0,6,0%,8.7
2025-11-15,0,7,0%,7.6
2025-11-16,0,2,0%,10
2025-11-17,0,8,0%,4
2025-11-18,0,8,0%,6
2025-11-19,0,5,0%,8.4
2025-11-20,0,8,0%,6.5
2025-11-21,1,19,5.26%,8
2025-11-22,1,70,1.43%,8.4
2025-11-23,3,77,3.9%,8.8
2025-11-24,4,71,5.63%,8.3
2025-11-25,1,79,1.27%,8.2
2025-11-26,4,70,5.71%,9.2
2025-11-27,3,71,4.23%,7.9
2025-11-28,5,94,5.32%,8.1
2025-11-29,4,63,6.35%,9.4
2025-11-30,1,66,1.52%,8.4
2025-12-01,2,57,3.51%,7.8
2025-12-02,0,63,0%,9.2
2025-12-03,2,73,2.74%,9.6
2025-12-04,1,53,1.89%,9.7
2025-12-05,2,45,4.44%,9
2025-12-06,1,49,2.04%,11.2
2025-12-07,0,30,0%,9.8
2025-12-08,2,41,4.88%,8.1
2025-12-09,2,38,5.26%,9.7
2025-12-10,3,53,5.66%,7.5
2025-12-11,5,48,10.42%,8.1
2025-12-12,5,43,11.63%,8
2025-12-13,4,73,5.48%,9.3
2025-12-14,2,57,3.51%,8.1
2025-12-15,4,59,6.78%,9.1
2025-12-16,2,70,2.86%,8.4
2025-12-17,2,64,3.12%,8.8
2025-12-18,4,85,4.71%,7.9
2025-12-19,11,90,12.22%,6.5
2025-12-20,5,64,7.81%,8.5
2025-12-21,6,81,7.41%,7.6
2025-12-22,12,102,11.76%,8.1
2025-12-23,1,74,1.35%,9
2025-12-24,2,65,3.08%,10.6
2025-12-25,1,70,1.43%,10.1
2025-12-26,2,63,3.17%,9.9
2025-12-27,3,122,2.46%,8.5
2025-12-28,3,63,4.76%,8.3
2025-12-29,4,89,4.49%,11.1
2025-12-30,4,70,5.71%,10.4
2025-12-31,7,79,8.86%,8.7
2026-01-01,9,89,10.11%,7.3
2026-01-02,4,79,5.06%,7.5
2026-01-03,2,88,2.27%,8.5
